corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext2	FRA20021_Sade_Infortunes	FRA20021	NA	Les Infortunes de la vertu: MiMoText edition	NA	NA	M	viaf:56615966;wikidata:Q123867	1787	1787	2003	1787	NA	bgrf:1	fra	49370	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20045_Charriere_Lausanne	FRA20045	NA	Lettres écrites de Lausanne: MiMoText edition	NA	NA	F	viaf:46755588;wikidata:Q123386	1787	1787	NA	1787	NA	bgrf:85.24	fra	49906	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20099_Beckford_Vathek	FRA20099	NA	Vathek: conte arabe: MiMoText edition	NA	NA	M	viaf:46760144;wikidata:Q361456	1787	1787	NA	1787	NA	bgrf:87.25 wikidata:Q54548	fra	33165	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20060_Florian_Estelle	FRA20060	Jean-Pierre Claris de Florian	Estelle: MiMoText edition	1755	1794	M	viaf:24601427;wikidata:Q551740	1788	1788	NA	1838	NA	bgrf:88.53	fra	31348	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20065_Loaisel_Ainsi	FRA20065	NA	Ainsi finissent les grandes passions, ou les Dernières amours du chevalier de ***: MiMoText edition	NA	NA	M	viaf:4932831;wikidata:Q56062794	1788	1788	NA	1788	NA	bgrf:87.54bis	fra	69612	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20046_Cazotte_Honneur	FRA20046	NA	L'Honneur perdu et recouvré: MiMoText edition	NA	NA	M	viaf:8698;wikidata:Q425373	1788	1788	NA	1817	NA	bgrf:88.41	fra	14914	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20003_Segur_Correspondance	FRA20003	NA	Correspondance secrète entre Ninon de Lenclos, le Marquis de Villarceaux et Madame M.: MiMoText     edition	NA	NA	M	viaf:56616313;wikidata:Q321684	1789	1789	NA	1805	NA	bgrf:89.104	fra	89104	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20091_Lesuire_Crime	FRA20091	NA	Le crime, ou Lettres originales, contenant les aventures de César de Perlencour: MiMoText edition	NA	NA	M	viaf:22144831;wikidata:Q3434367	1789	1789	NA	1789	NA	bgrf:89.81	fra	163248	NA	NA	long	unspecified	T0
ELTeC-fra-ext2	FRA20052_Louvet_Fin	FRA20052	NA	La Fin des amours de Faublas: MiMoText edition	NA	NA	M	viaf:34459698;wikidata:Q1362457	1790	1790	NA	1884	NA	bgrf:90.47 wikidata:Q91971388	fra	67540	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20049_Bernardin_Chaumiere	FRA20049	NA	Chaumière Indienne: MiMoText edition	NA	NA	M	viaf:59088938;wikidata:Q361976	1791	1791	NA	1829	NA	bgrf:91.43 wikidata:Q42187814	fra	13446	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20022_Sade_Philosophie	FRA20022	NA	La Philosophie dans le boudoir: MiMoText edition	NA	NA	M	viaf:56615966;wikidata:Q123867	1791	1791	NA	1791	NA	bgrf:95.37 wikidata:Q1215417	fra	63119	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20054_Gorjy_Voyage	FRA20054	NA	Nouveau voyage sentimental: MiMoText edition	NA	NA	M	viaf:76441933;wikidata:Q15407023	1791	1791	NA	1791	NA	bgrf:84.27	fra	17436	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20023_Sade_Justine	FRA20023	NA	Justine ou les Malheurs de la vertu: MiMoText edition	NA	NA	M	viaf:56615966;wikidata:Q123867	1791	1791	NA	1791	NA	bgrf:91.42 wikidata:Q1329470	fra	109927	NA	NA	long	unspecified	T0
ELTeC-fra-ext2	FRA20000_Maistre_Voyage	FRA200000	NA	Voyage autour de ma chambre: MiMoText edition	NA	NA	M	viaf:29612438;wikidata:Q2737006	1794	1794	NA	1839	NA	bgrf:94.8 wikidata:Q10392559	fra	18553	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20001_Souza_Adele	FRA20001	NA	Adèle de Senange: MiMoText edition	NA	NA	F	viaf:14908410;wikidata:Q589562	1794	1794	NA	1821	NA	bgrf:94.13	fra	48709	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20095_Genlis_Chevaliers	FRA20095	NA	Les Chevaliers du cygne: MiMoText edition	NA	NA	F	viaf:71391471;wikidata:Q55037230	1795	1795	NA	1795	NA	bgrf:95.20	fra	181276	NA	NA	long	unspecified	T0
